"user_name";"user_age";"user_aadhar";"user_state";"user_accountno";"user_pass";"VoteCn"
"Ashutosh Pawar";18;"400012344321";"Maharashtra";"000105";"ashu@123";0
"Quandale Dingleberry";32;"211235647894";"Uttar Pradesh";"183846";"quando@humperdink";0
"Sample Sample";53;"789845651232";"Kerala";"364517";"sample@sample";0
"Sample User";18;"123456784321";"Goa";"410061";"sample@1";0
"Sample Three";42;"565489872321";"Bihar";"468423";"sample@3";0
"why";44;"456578981232";"Mizoram";"494239";"why@1";1
"Project Sample";32;"789456123216";"Maharashtra";"852547";"sample@project";0
"adidada";22;"123412341234";"maharashtra";"873653";"873653";0
"smam";20;"789456123214";"Goa";"898152";"1234234";0
"Exe Sample";19;"78945620321";"Ladakh";"994520";"exe@sample";1
